team1,team2,venue,toss_winner,toss_decision,team1_wins,team1_losses,team2_wins,team2_losses,h2h_team1_wins,h2h_team2_wins,team1_form,team2_form,home_team,winner
Gujarat Titans,Chennai Super Kings,Eden Gardens,Gujarat Titans,bat,50,50,63,37,7,3,4,3,Chennai Super Kings,Gujarat Titans
Delhi Capitals,Royal Challengers Bangalore,Eden Gardens,Delhi Capitals,bat,67,33,55,45,5,5,4,4,Delhi Capitals,Delhi Capitals
Lucknow Super Giants,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Lucknow Super Giants,field,41,59,59,41,6,4,4,4,Royal Challengers Bangalore,Lucknow Super Giants
Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,75,25,53,47,6,4,1,5,Sunrisers Hyderabad,Sunrisers Hyderabad
Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Chennai Super Kings,bat,46,54,48,52,3,7,4,3,Royal Challengers Bangalore,Royal Challengers Bangalore
Royal Challengers Bangalore,Lucknow Super Giants,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,bat,63,37,76,24,5,5,4,3,Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi Capitals,Kolkata Knight Riders,M. A. Chidambaram Stadium,Kolkata Knight Riders,field,52,48,71,29,3,7,4,5,Delhi Capitals,Kolkata Knight Riders
Gujarat Titans,Mumbai Indians,Arun Jaitley Stadium,Gujarat Titans,bat,45,55,67,33,6,4,4,4,Mumbai Indians,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,bat,42,58,78,22,5,5,1,5,Kolkata Knight Riders,Chennai Super Kings
Royal Challengers Bangalore,Rajasthan Royals,M. A. Chidambaram Stadium,Royal Challengers Bangalore,bat,76,24,56,44,5,5,1,2,Royal Challengers Bangalore,Royal Challengers Bangalore
Mumbai Indians,Delhi Capitals,Eden Gardens,Mumbai Indians,bat,77,23,63,37,7,3,4,2,Mumbai Indians,Mumbai Indians
Lucknow Super Giants,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,58,42,59,41,6,4,1,1,Chennai Super Kings,Lucknow Super Giants
Mumbai Indians,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,field,41,59,40,60,6,4,5,5,Mumbai Indians,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Rajiv Gandhi International Stadium,Chennai Super Kings,field,59,41,74,26,3,7,3,1,Chennai Super Kings,Chennai Super Kings
Gujarat Titans,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,field,47,53,46,54,5,5,1,1,Gujarat Titans,Gujarat Titans
Kolkata Knight Riders,Mumbai Indians,Arun Jaitley Stadium,Kolkata Knight Riders,field,72,28,44,56,6,4,5,3,Kolkata Knight Riders,Kolkata Knight Riders
Chennai Super Kings,Sunrisers Hyderabad,Arun Jaitley Stadium,Chennai Super Kings,bat,74,26,72,28,6,4,5,5,Sunrisers Hyderabad,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,M. A. Chidambaram Stadium,Kolkata Knight Riders,bat,61,39,62,38,4,6,3,2,Mumbai Indians,Mumbai Indians
Sunrisers Hyderabad,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,46,54,75,25,7,3,4,1,Kolkata Knight Riders,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Arun Jaitley Stadium,Rajasthan Royals,bat,61,39,61,39,3,7,4,2,Rajasthan Royals,Rajasthan Royals
Gujarat Titans,Chennai Super Kings,Arun Jaitley Stadium,Gujarat Titans,field,69,31,74,26,6,4,5,2,Gujarat Titans,Gujarat Titans
Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,40,60,40,60,4,6,1,5,Mumbai Indians,Mumbai Indians
Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,bat,69,31,44,56,6,4,2,2,Punjab Kings,Punjab Kings
Mumbai Indians,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,58,42,71,29,3,7,5,5,Royal Challengers Bangalore,Royal Challengers Bangalore
Punjab Kings,Rajasthan Royals,M. Chinnaswamy Stadium,Punjab Kings,bat,76,24,51,49,5,5,1,1,Punjab Kings,Punjab Kings
Delhi Capitals,Rajasthan Royals,M. A. Chidambaram Stadium,Rajasthan Royals,field,73,27,46,54,6,4,2,5,Rajasthan Royals,Rajasthan Royals
Gujarat Titans,Punjab Kings,Sawai Mansingh Stadium,Punjab Kings,field,62,38,71,29,7,3,4,1,Gujarat Titans,Gujarat Titans
Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,bat,58,42,51,49,3,7,4,4,Chennai Super Kings,Sunrisers Hyderabad
Punjab Kings,Chennai Super Kings,Wankhede Stadium,Punjab Kings,bat,78,22,53,47,4,6,5,3,Punjab Kings,Punjab Kings
Royal Challengers Bangalore,Lucknow Super Giants,M. A. Chidambaram Stadium,Royal Challengers Bangalore,field,41,59,44,56,7,3,5,3,Royal Challengers Bangalore,Royal Challengers Bangalore
Sunrisers Hyderabad,Mumbai Indians,Eden Gardens,Mumbai Indians,field,58,42,78,22,5,5,5,5,Mumbai Indians,Mumbai Indians
Punjab Kings,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,bat,64,36,72,28,7,3,2,4,Punjab Kings,Lucknow Super Giants
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,bat,53,47,54,46,3,7,5,3,Mumbai Indians,Mumbai Indians
Rajasthan Royals,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,bat,56,44,48,52,3,7,5,4,Rajasthan Royals,Rajasthan Royals
Gujarat Titans,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,bat,44,56,72,28,3,7,2,1,Delhi Capitals,Delhi Capitals
Kolkata Knight Riders,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Kolkata Knight Riders,bat,70,30,44,56,5,5,5,5,Kolkata Knight Riders,Kolkata Knight Riders
Sunrisers Hyderabad,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,field,73,27,67,33,4,6,2,2,Kolkata Knight Riders,Kolkata Knight Riders
Delhi Capitals,Chennai Super Kings,Sawai Mansingh Stadium,Delhi Capitals,bat,54,46,76,24,7,3,2,3,Chennai Super Kings,Delhi Capitals
Rajasthan Royals,Gujarat Titans,Arun Jaitley Stadium,Rajasthan Royals,field,56,44,44,56,7,3,4,2,Rajasthan Royals,Rajasthan Royals
